2014-07-29 11:03:19.245 DEBUG[main|ROOT] 连接池数量：  2
2014-07-29 11:03:21.976 DEBUG[main|ROOT] insert SQL insert into XSYS_SAHLAXX( AH , SATJ , SSXZ , AJLY , SDSZRQ , QSZZM , QSS , SAJZCL , CXQS , JYSYJYCX , LABMBS , LABM , SADJR , SCR , SCRQ , SCYJ , SPR , LASPRQ , SPYJ , LARQ , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:21.984 DEBUG[main|ROOT] insert SQL insert into XSYS_WS( XH , LB , MC , ZZR , ZZSJ , NR , STWJ , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.006 DEBUG[main|ROOT] insert SQL insert into XSYS_ZHZXSXQK( BGR , ZTSXZXBG , ZTZXYY , ZTZXSXML , ZTRQ , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.013 DEBUG[main|ROOT] insert SQL insert into XSYS_AJCLQK( XH , CLRQ , CLFS , SJFW , ZDDX , WSLX , AJCLWS , TZLX , ZDJZQX , QFR , DCQSR , JBQSR , QSRQ , JA , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.026 DEBUG[main|ROOT] insert SQL insert into XSYS_AJSLQK( JSRQ , CBSPTBS , CBSPT , CBR , SYCX , BGRTYRZCX , GXYJ , TQZJJH , FYSJDQZJ , DYSJ , AJSJ , AJDXYX , GTFZ , TABGRBZAYY , AJJZ , SLBG , GKSL , BGKSLYY , WTSX , STFY , SZDHYSFY , KTSL , SFTQYZTJSWH , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.032 DEBUG[main|ROOT] insert SQL insert into XSYS_AJPY( XH , PYLX , PYRQ , CBRYJ , SPZYJ , QTCYYJ , DSRYJ , PYBL , TLJG , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.054 DEBUG[main|ROOT] insert SQL insert into XSYS_JCJGJSPWFCXTCYJ( XH , LY , NR , TCRQ , CN , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.057 DEBUG[main|ROOT] insert SQL insert into XSYS_SXFHQK( BGR , BHRQ , HZSXRQ , HZSXZM , SXZZML , SXMLQFRQ , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.062 DEBUG[main|ROOT] insert SQL insert into XSYS_SXZXQK( BGR , ZXRQ , ZXDD , ZXFS , ZXRY , XCJDR , ZXSZFZT , ZFLXYY , ZXSXBG , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.068 DEBUG[main|ROOT] insert SQL insert into XSYS_FTSYJL( XH , FTYT , TC , KSSJ , JSSJ , DD , GKKT , DTDSR , JBDTDSR , WLTTDSR , DTSSDLR , CTZZZR , BHRWZBH , JJBHHDL , DWXC , PTRS , RDDBPTRS , ZXWYPTRS , SWHDTTA , XPQK , BL , TZCJQK , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.088 DEBUG[main|ROOT] insert SQL insert into XSYS_FZSSGK( XH , SSMS , BGR , FZDX , BHR , ZKZM , ZASJ , ZADY , ZACS , JHZA , FZHG , QSRS , ZSRS , ZSBYZCJRS , SWRS , ZJ , ZR , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.119 DEBUG[main|ROOT] insert SQL insert into XSYS_FZCYJL( BGR , XH , FZSS , FZDX , ZKZM , ZASNL , ZASSF , FZSJSZT , ZADJ , ZASD , ZQSRS , ZZSRS , ZZSBYZCJRS , ZSWRS , RDSSZJ , ZR , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.128 DEBUG[main|ROOT] insert SQL insert into XSYS_FZDX( XH , ZL , SL , JLDW , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.130 DEBUG[main|ROOT] insert SQL insert into XSYS_CXBG( CXBGLX , JYZPTRQ , JYZPTSPR , JYZPTYY , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.133 DEBUG[main|ROOT] insert SQL insert into XSYS_LAYJHTAQK( XH , LAYJTSBS , LAYJTS , LAYJR , CBTBS , CBSPT , LAYJRQ , TAR , TARQ , TAYY , TAJSR , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.135 DEBUG[main|ROOT] insert SQL insert into XSYS_GXCLQK( XH , TCGXYYR , TCGXYYRQ , GXWTLX , WGXQCL , GXQZYCL , GXYYCL , SJFYHF , SYSFY , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.139 DEBUG[main|ROOT] insert SQL insert into XSYS_JAQK( JARQ , AY , JAFS , BYSLYY , BHZSYY , CSLX , CSCLSY , JASY , PJWHSS , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,?,?,? )
2014-07-29 11:03:22.146 DEBUG[main|ROOT] insert SQL insert into XSYS_ZYXZXQK( BGR , XH , JFZXRQ , ZXFS , JWZXYY , DBQK , ZXJDS , AJBS , APP_CODE , DEPT_CODE , UPDATE_TIME , ID , REG_TIME ) values( ?,?,?,?,?,?,?,?,?,?,?,?,? )
